wavelength (nm),refractive index
5960.87,3.42204
5974.61,3.42202
5988.39,3.42201
6002.19,3.42199
6016.03,3.42197
6029.9,3.42195
6043.8,3.42193
6057.73,3.42191
6071.69,3.4219
6085.69,3.42188
6099.72,3.42186
6113.78,3.42184
6127.87,3.42182
6142,3.42181
6156.16,3.42179
6170.35,3.42177
6184.58,3.42175
6198.83,3.42174
6213.12,3.42172
6227.44,3.4217
6241.8,3.42168
6256.19,3.42167
6270.61,3.42165
6285.07,3.42163
6299.56,3.42162
6314.08,3.4216
6328.63,3.42158
6343.22,3.42156
6357.84,3.42155
6372.5,3.42153
6387.19,3.42151
6401.91,3.4215
6416.67,3.42148
6431.46,3.42147
6446.29,3.42145
6461.15,3.42143
6476.05,3.42142
6490.97,3.4214
6505.94,3.42138
6520.94,3.42137
6535.97,3.42135
6551.03,3.42134
6566.14,3.42132
6581.27,3.4213
6596.44,3.42129
6611.65,3.42127
6626.89,3.42125
6642.17,3.42124
6657.48,3.42122
6672.83,3.42121
6688.21,3.42119
6703.63,3.42118
6719.08,3.42116
6734.57,3.42114
6750.09,3.42113
6765.66,3.42111
6781.25,3.4211
6796.88,3.42108
6812.55,3.42107
6828.26,3.42106
6844,3.42104
6859.78,3.42103
6875.59,3.42102
6891.44,3.42101
6907.32,3.42099
6923.25,3.42098
6939.21,3.42097
6955.2,3.42096
6971.24,3.42095
6987.31,3.42093
7003.42,3.42092
7019.56,3.42091
7035.74,3.42089
7051.96,3.42088
7068.22,3.42087
7084.51,3.42085
7100.84,3.42084
7117.21,3.42082
7133.62,3.42081
7150.06,3.4208
7166.55,3.42079
7183.07,3.42077
7199.63,3.42076
7216.22,3.42075
7232.86,3.42073
7249.53,3.42072
7266.24,3.42071
7282.99,3.4207
7299.78,3.42068
7316.61,3.42067
7333.48,3.42066
7350.38,3.42065
7367.33,3.42063
7384.31,3.42062
7401.33,3.42061
7418.39,3.42059
7435.49,3.42058
7452.64,3.42057
7469.82,3.42056
7487.04,3.42054
7504.29,3.42053
7521.59,3.42052
7538.93,3.42051
7556.31,3.42049
7573.73,3.42048
7591.19,3.42047
7608.69,3.42046
7626.23,3.42045
7643.81,3.42044
7661.43,3.42043
7679.09,3.42042
