wavelength (nm),refractive index
1630.8,1.456063654
1634.56,1.456018238
1638.32,1.455972651
1642.1,1.455926891
1645.89,1.455880958
1649.68,1.455834849
1653.48,1.455788564
1657.3,1.455742102
1661.12,1.455695461
1664.94,1.45564864
1668.78,1.455601639
1672.63,1.455554455
1676.49,1.455507088
1680.35,1.455459537
1684.22,1.455411799
1688.11,1.455363875
1692,1.455315763
1695.9,1.455267461
1699.81,1.455218968
1703.73,1.455170283
1707.65,1.455121405
1711.59,1.455072333
1715.54,1.455023065
1719.49,1.4549736
1723.45,1.454923936
1727.43,1.454874073
1731.41,1.454824009
1735.4,1.454773743
1739.4,1.454723273
1743.41,1.454672598
1747.43,1.454621717
1751.46,1.454570629
1755.5,1.454519331
1759.54,1.454467823
1763.6,1.454416104
1767.66,1.454364172
1771.74,1.454312026
1775.82,1.454259663
1779.92,1.454207084
1784.02,1.454154286
1788.13,1.454101269
1792.26,1.454048029
1796.39,1.453994567
1800.53,1.453940881
1804.68,1.45388697
1808.84,1.453832831
1813.01,1.453778464
1817.19,1.453723866
1821.38,1.453669037
1825.58,1.453613975
1829.78,1.453558679
1834,1.453503147
1838.23,1.453447377
1842.47,1.453391368
1846.71,1.453335119
1850.97,1.453278627
1855.24,1.453221892
1859.52,1.453164912
1863.8,1.453107684
1868.1,1.453050209
1872.41,1.452992483
1876.72,1.452934506
1881.05,1.452876275
1885.38,1.45281779
1889.73,1.452759049
1894.09,1.452700049
1898.45,1.452640789
1902.83,1.452581268
1907.22,1.452521484
1911.61,1.452461435
1916.02,1.45240112
1920.44,1.452340536
1924.86,1.452279682
1929.3,1.452218556
1933.75,1.452157157
1938.21,1.452095483
1942.67,1.452033531
1947.15,1.451971301
1951.64,1.451908789
1956.14,1.451845996
1960.65,1.451782918
1965.17,1.451719554
1969.7,1.451655901
1974.24,1.451591959
1978.79,1.451527725
1983.35,1.451463196
1987.92,1.451398373
1992.51,1.451333251
1997.1,1.45126783
2001.7,1.451202107
2006.32,1.45113608
2010.94,1.451069747
2015.58,1.451003107
2020.23,1.450936157
2024.88,1.450868895
2029.55,1.450801319
2034.23,1.450733427
2038.92,1.450665217
2043.62,1.450596686
2048.33,1.450527832
2053.05,1.450458654
2057.78,1.450389148
2062.53,1.450319313
2067.28,1.450249146
2072.05,1.450178646
2076.82,1.450107809
2081.61,1.450036633
2086.41,1.449965116
2091.22,1.449893256
2096.04,1.449821049
2100.87,1.449748494
2105.72,1.449675588
2110.57,1.449602328
2115.44,1.449528713
2120.31,1.449454738
2125.2,1.449380402
2130.1,1.449305701
2135.01,1.449230634
2139.93,1.449155197
2144.86,1.449079387
2149.81,1.449003202
2154.76,1.448926639
2159.73,1.448849694
2164.71,1.448772365
2169.7,1.448694649
2174.7,1.448616541
2179.72,1.448538041
2184.74,1.448459144
2189.78,1.448379847
2194.82,1.448300146
2199.88,1.448220039
2204.96,1.448139522
2210.04,1.448058591
2215.13,1.447977244
2220.24,1.447895475
2225.36,1.447813283
2230.49,1.447730663
2235.63,1.447647611
2240.78,1.447564125
2245.95,1.447480198
2251.13,1.44739583
2256.32,1.447311014
2261.52,1.447225747
2266.73,1.447140025
2271.96,1.447053845
2277.19,1.446967202
2282.44,1.446880092
2287.7,1.44679251
2292.98,1.446704453
2298.26,1.446615916
2303.56,1.446526896
2308.87,1.446437387
2314.19,1.446347385
2319.53,1.446256886
2324.88,1.446165887
2330.24,1.446074381
2335.61,1.445982365
2340.99,1.445889834
2346.39,1.445796784
2351.8,1.445703211
2357.22,1.44560911
2362.65,1.445514476
2368.1,1.445419304
2373.56,1.445323593
2379.03,1.445227334
2384.51,1.445130525
2390.01,1.445033161
2395.52,1.444935236
2401.04,1.444836747
2406.58,1.44473769
2412.13,1.444638058
2417.69,1.444537848
2423.26,1.444437054
2428.85,1.444335672
2434.44,1.444233696
2440.06,1.44413112
2445.68,1.444027941
2451.32,1.443924151
2456.97,1.443819744
2462.63,1.443714715
2468.31,1.443609056
2474,1.44350276
2479.7,1.44339582
2485.42,1.443288227
2491.15,1.44317997
2496.89,1.443071042
2502.65,1.44296143
2508.42,1.442851123
2514.2,1.442740105
2520,1.442628362
2525.81,1.442515876
2531.63,1.442402627
2537.46,1.442288595
2543.31,1.442173752
2549.18,1.442058069
2555.05,1.441941512
2560.94,1.441824044
2566.85,1.441705616
2572.76,1.441586177
2578.69,1.441465663
2584.64,1.441343999
2590.6,1.441221096
2596.57,1.441096846
2602.55,1.440971114
2608.55,1.440843738
2614.57,1.440714509
2620.59,1.440583162
2626.64,1.440449341
2632.69,1.440312565
2638.76,1.440172151
2644.84,1.440027105
2650.94,1.439875983
2657.05,1.43971678
2663.18,1.439547044
2669.32,1.439364534
2675.47,1.439168772
2681.64,1.438963458
2687.82,1.438758826
2694.01,1.438572099
2700.22,1.438424124
2706.45,1.438332078
2712.69,1.438301139
2718.94,1.438320094
2725.21,1.438364469
2731.49,1.438406258
2737.79,1.438424874
2744.1,1.438413188
2750.43,1.438376152
2756.77,1.438324269
2763.12,1.438266637
2769.49,1.438207214
2775.87,1.438144989
2782.27,1.438076486
2788.69,1.437998457
2795.12,1.437909458
2801.56,1.437810051
2808.02,1.437702098
2814.49,1.437587815
2820.98,1.437469006
2827.48,1.43734669
2834,1.437221124
2840.53,1.437092035
2847.08,1.436958962
2853.64,1.436821533
2860.22,1.436679656
2866.82,1.436533576
2873.42,1.436383839
2880.05,1.4362312
2886.69,1.436076509
2893.34,1.435920598
2900.01,1.435764204
2906.7,1.435607909
2913.4,1.435452131
2920.11,1.435297115
2926.85,1.435142965
2933.59,1.434989662
2940.36,1.434837101
2947.13,1.434685129
2953.93,1.434533549
2960.74,1.434382167
2967.56,1.434230781
2974.4,1.434079209
2981.26,1.433927281
2988.13,1.433774853
2995.02,1.433621792
3001.93,1.43346799
3008.85,1.43331336
3015.78,1.433157821
3022.73,1.433001309
3029.7,1.432843773
3036.69,1.432685171
3043.69,1.432525471
3050.7,1.432364644
3057.74,1.432202674
3064.78,1.432039542
3071.85,1.431875241
3078.93,1.431709762
3086.03,1.431543099
3093.14,1.43137525
3100.27,1.431206217
3107.42,1.431035992
3114.58,1.430864579
3121.76,1.430691978
3128.96,1.430518187
3136.17,1.430343202
3143.4,1.430167022
3150.65,1.42998964
3157.91,1.429811051
3165.19,1.429631246
3172.49,1.429450215
3179.8,1.429267944
3187.13,1.429084418
3194.48,1.428899619
3201.84,1.428713523
3209.22,1.428526105
3216.62,1.428337332
3224.04,1.428147171
3231.47,1.427955577
3238.92,1.427762495
3246.38,1.427567867
3253.87,1.427371614
3261.37,1.427173647
3268.89,1.426973858
3276.42,1.426772109
3283.98,1.426568241
3291.55,1.426362053
3299.13,1.4261533
3306.74,1.42594165
3314.36,1.425726647
3322,1.42550757
3329.66,1.425283065
3337.34,1.425049989
3345.03,1.424801071
3352.74,1.42452985
3360.47,1.424266595
3368.22,1.424099925
3375.98,1.424047735
3383.76,1.42395876
3391.56,1.423723985
3399.38,1.423415342
3407.22,1.423152714
3415.07,1.423003446
3422.94,1.422948226
3430.84,1.422887708
3438.74,1.422738007
3446.67,1.422504179
3454.62,1.422239573
3462.58,1.421979109
3470.56,1.421727049
3478.56,1.421473091
3486.58,1.421201502
3494.62,1.420931956
3502.68,1.42077275
3510.75,1.420686683
3518.84,1.420480415
3526.95,1.420192792
3535.09,1.419915121
3543.23,1.419651702
3551.4,1.419393118
3559.59,1.419135997
3567.79,1.418879234
3576.02,1.418622364
3584.26,1.418365137
3592.53,1.418107386
3600.81,1.417848977
3609.11,1.417589804
3617.43,1.417329753
3625.77,1.417068727
3634.13,1.416806632
3642.5,1.416543385
3650.9,1.416278915
3659.32,1.416013146
3667.75,1.415746022
3676.21,1.415477496
3684.68,1.415207522
3693.17,1.414936048
3701.69,1.414663049
3710.22,1.414388485
3718.77,1.414112329
3727.35,1.413834545
3735.94,1.413555113
3744.55,1.413274004
3753.18,1.412991198
3761.84,1.412706669
3770.51,1.412420385
3779.2,1.412132334
3787.91,1.411842495
3796.64,1.411550834
3805.4,1.411257341
3814.17,1.410961982
3822.96,1.410664746
3831.77,1.410365605
3840.61,1.410064544
3849.46,1.409761527
3858.33,1.409456542
3867.23,1.40914956
3876.14,1.40884056
3885.08,1.408529522
3894.04,1.408216421
3903.01,1.407901229
3912.01,1.407583923
3921.03,1.407264478
3930.07,1.406942872
3939.13,1.406619074
3948.21,1.406293059
3957.31,1.405964807
3966.43,1.405634281
3975.57,1.405301467
3984.74,1.404966324
3993.92,1.404628832
4003.13,1.404288963
4012.36,1.403946689
4021.61,1.403601982
4030.88,1.403254812
4040.17,1.40290515
4049.49,1.402552971
4058.82,1.402198248
4068.18,1.401840945
4077.56,1.401481041
4086.96,1.401118508
4096.38,1.400753309
4105.82,1.400385423
4115.28,1.400014821
4124.77,1.399641463
4134.28,1.399265326
4143.81,1.398886379
4153.36,1.398504577
4162.94,1.39811989
4172.53,1.397732268
4182.15,1.397341664
4191.79,1.396948021
4201.46,1.396551264
4211.14,1.396151308
4220.85,1.395748037
4230.58,1.395341295
4240.33,1.394930882
4250.11,1.394516545
4259.9,1.394097957
4269.72,1.393674737
4279.57,1.393246502
4289.43,1.39281297
4299.32,1.392374104
4309.23,1.391930367
4319.17,1.391482917
4329.12,1.391033818
4339.1,1.390585998
4349.1,1.390143047
4359.13,1.389708613
4369.18,1.389285607
4379.25,1.388875413
4389.35,1.388477143
4399.46,1.388087488
4409.61,1.387701055
4419.77,1.387311258
4429.96,1.386911528
4440.17,1.386496503
4450.41,1.386062838
4460.67,1.385609539
4470.95,1.385137725
4481.26,1.38465001
4491.59,1.384149689
4501.94,1.383640038
4512.32,1.383123777
4522.72,1.382602808
4533.15,1.382078239
4543.6,1.381550464
4554.07,1.381019381
4564.57,1.380484599
4575.09,1.379945586
4585.64,1.37940176
4596.21,1.378852553
4606.81,1.378297454
4617.43,1.377735998
4628.07,1.37716777
4638.74,1.376592395
4649.43,1.376009565
4660.15,1.375418991
4670.89,1.374820477
4681.66,1.374213849
4692.45,1.373599021
4703.27,1.372976013
4714.11,1.372344906
4724.98,1.371705926
4735.87,1.371059384
4746.79,1.370405769
4757.73,1.369745647
4768.7,1.369079789
4779.69,1.368409079
4790.71,1.367734534
4801.75,1.367057285
4812.82,1.366378597
4823.92,1.365699793
4835.04,1.365022241
4846.18,1.364347303
4857.36,1.36367634
4868.55,1.363010592
4879.78,1.362351194
4891.02,1.361699081
4902.3,1.361054975
4913.6,1.360419326
4924.93,1.359792252
4936.28,1.359173562
4947.66,1.358562726
4959.07,1.357958827
4970.5,1.35736064
4981.96,1.35676663
4993.44,1.356174956
5004.95,1.355583604
5016.49,1.354990387
5028.05,1.354393049
5039.64,1.353789344
5051.26,1.353177134
5062.91,1.352554476
5074.58,1.351919688
5086.28,1.351271442
5098,1.350608865
5109.75,1.349931525
5121.53,1.349239504
5133.34,1.348533429
5145.17,1.347814423
5157.03,1.347084101
5168.92,1.346344516
5180.84,1.3455981
5192.78,1.344847543
5204.75,1.344095711
5216.75,1.343345538
5228.77,1.342599905
5240.83,1.341861473
5252.91,1.341132623
5265.02,1.340415345
5277.16,1.339711096
5289.32,1.339020776
5301.51,1.338344651
5313.73,1.337682352
5325.98,1.337032807
5338.26,1.336394327
5350.57,1.335764649
5362.9,1.335140983
5375.26,1.334520102
5387.66,1.333898448
5400.08,1.333272239
5412.52,1.332637639
5425,1.331990751
5437.51,1.331327908
5450.04,1.3306456
5462.61,1.329940679
5475.2,1.329210367
5487.82,1.328452414
5500.47,1.327665013
5513.15,1.326846896
5525.86,1.325997289
5538.6,1.325116016
5551.37,1.324203259
5564.16,1.32325972
5576.99,1.322286448
5589.85,1.321284856
5602.73,1.320256559
5615.65,1.319203382
5628.59,1.31812728
5641.57,1.31703033
5654.57,1.315914455
5667.61,1.314781699
5680.67,1.313633953
5693.77,1.312472925
5706.89,1.31130023
5720.05,1.310117279
5733.24,1.308925278
5746.45,1.307725227
5759.7,1.306517953
5772.98,1.305303996
5786.29,1.304083726
5799.62,1.302857313
5812.99,1.301624775
5826.39,1.300385838
5839.83,1.299140147
5853.29,1.297887143
5866.78,1.296626219
5880.31,1.29535658
5893.86,1.294077528
5907.45,1.292788379
5921.07,1.291488721
5934.71,1.290178329
5948.4,1.288857559
5962.11,1.287527191
5975.85,1.286188665
5989.63,1.284843781
6003.44,1.283494783
6017.28,1.282143956
6031.15,1.280793216
6045.05,1.279443895
6058.98,1.278096063
6072.95,1.276748501
6086.95,1.275398463
6100.98,1.274041673
6115.05,1.272672899
6129.14,1.271286054
6143.27,1.269875002
6157.44,1.268434049
6171.63,1.266958492
6185.86,1.265444921
6200.12,1.26389134
6214.41,1.262297082
6228.74,1.260662742
