wavelength (nm),refractive index
339.2,1.4788
339.4,1.47876
339.6,1.47872
339.8,1.47869
340,1.47865
340.2,1.47861
340.4,1.47857
340.6,1.47854
340.8,1.4785
341,1.47846
341.2,1.47843
341.4,1.47839
341.6,1.47836
341.8,1.47832
342,1.47828
342.2,1.47825
342.4,1.47821
342.6,1.47818
342.8,1.47814
343,1.4781
343.2,1.47807
343.4,1.47803
343.6,1.478
343.8,1.47796
344,1.47792
344.2,1.47789
344.4,1.47785
344.6,1.47782
344.8,1.47778
345,1.47775
345.2,1.47771
345.4,1.47768
345.6,1.47764
345.8,1.4776
346,1.47757
346.2,1.47753
346.4,1.4775
346.6,1.47746
346.8,1.47743
347,1.4774
347.2,1.47736
347.4,1.47733
347.6,1.4773
347.8,1.47726
348,1.47723
348.2,1.47719
348.4,1.47716
348.6,1.47713
348.8,1.47709
349,1.47706
349.2,1.47703
349.4,1.47699
349.6,1.47696
349.8,1.47693
350,1.47689
350.2,1.47686
350.4,1.47683
350.6,1.4768
350.8,1.47676
351,1.47673
351.2,1.4767
351.4,1.47666
351.6,1.47663
351.8,1.4766
352,1.47657
352.2,1.47653
352.4,1.4765
352.6,1.47647
352.8,1.47643
353,1.4764
353.2,1.47637
353.4,1.47634
353.6,1.4763
353.8,1.47627
354,1.47624
354.2,1.47621
354.4,1.47618
354.6,1.47614
354.8,1.47611
355,1.47608
355.2,1.47605
355.4,1.47601
355.6,1.47598
355.8,1.47595
356,1.47592
356.2,1.47589
356.4,1.47585
356.6,1.47582
356.8,1.47579
357,1.47576
357.2,1.47573
357.4,1.47569
357.6,1.47566
357.8,1.47563
358,1.4756
358.2,1.47557
358.4,1.47554
358.6,1.4755
358.8,1.47547
359,1.47544
359.2,1.47541
359.4,1.47538
359.6,1.47535
359.8,1.47532
360,1.47528
360.2,1.47525
360.4,1.47522
360.6,1.47519
360.8,1.47516
361,1.47513
361.2,1.4751
361.4,1.47507
361.6,1.47504
361.8,1.47501
362,1.47498
362.2,1.47495
362.4,1.47492
362.6,1.47489
362.8,1.47486
363,1.47483
363.2,1.4748
363.4,1.47477
363.6,1.47474
363.8,1.47471
364,1.47468
364.2,1.47465
364.4,1.47462
364.6,1.47459
364.8,1.47456
365,1.47453
365.2,1.4745
365.4,1.47448
365.6,1.47445
365.8,1.47442
366,1.4744
366.2,1.47437
366.4,1.47434
366.6,1.47431
366.8,1.47429
367,1.47426
367.2,1.47423
367.4,1.4742
367.6,1.47418
367.8,1.47415
368,1.47412
368.2,1.4741
368.4,1.47407
368.6,1.47404
368.8,1.47402
369,1.47399
369.2,1.47396
369.4,1.47393
369.6,1.47391
369.8,1.47388
370,1.47385
370.2,1.47383
370.4,1.4738
370.6,1.47377
370.8,1.47375
371,1.47372
371.2,1.47369
